command;permissive;policy_name;roles;schema_name;table_name;using_expression;with_check_expression
SELECT;PERMISSIVE;Lessons viewable by authenticated if path is viewable;{authenticated};public;academy_lessons;"(EXISTS ( SELECT 1
   FROM (academy_modules m
     JOIN academy_paths p ON ((p.id = m.path_id)))
  WHERE ((m.id = academy_lessons.module_id) AND ((p.status = 'published'::text) OR (p.tenant_id = auth.uid()) OR has_role(auth.uid(), 'super_admin'::app_role)))))";
SELECT;PERMISSIVE;Modules viewable by authenticated if path is viewable;{authenticated};public;academy_modules;"(EXISTS ( SELECT 1
   FROM academy_paths p
  WHERE ((p.id = academy_modules.path_id) AND ((p.status = 'published'::text) OR (p.tenant_id = auth.uid()) OR has_role(auth.uid(), 'super_admin'::app_role)))))";
SELECT;PERMISSIVE;Public paths are viewable by all authenticated;{authenticated};public;academy_paths;((status = 'published'::text) OR (tenant_id = auth.uid()) OR has_role(auth.uid(), 'super_admin'::app_role));
ALL;PERMISSIVE;Users can manage their own progress;{authenticated};public;academy_progress;(user_id = auth.uid());(user_id = auth.uid())
ALL;PERMISSIVE;super admin manages recommendations;{authenticated};public;addon_upgrade_recommendations;has_role(auth.uid(), 'admin'::app_role);has_role(auth.uid(), 'admin'::app_role)
INSERT;PERMISSIVE;tenant inserts own recommendations;{authenticated};public;addon_upgrade_recommendations;;(tenant_id = auth.uid())
SELECT;PERMISSIVE;tenant reads own recommendations;{authenticated};public;addon_upgrade_recommendations;((tenant_id = auth.uid()) OR has_role(auth.uid(), 'admin'::app_role));
UPDATE;PERMISSIVE;tenant updates own recommendations;{authenticated};public;addon_upgrade_recommendations;(tenant_id = auth.uid());(tenant_id = auth.uid())
SELECT;PERMISSIVE;Super admin can read event log;{authenticated};public;admin_event_log;"(( SELECT profiles.role
   FROM profiles
  WHERE (profiles.id = auth.uid())) = 'super_admin'::text)";
ALL;PERMISSIVE;Super admin manages own event subscriptions;{authenticated};public;admin_event_subscriptions;"((user_id = auth.uid()) AND (( SELECT profiles.role
   FROM profiles
  WHERE (profiles.id = auth.uid())) = 'super_admin'::text))";"((user_id = auth.uid()) AND (( SELECT profiles.role
   FROM profiles
  WHERE (profiles.id = auth.uid())) = 'super_admin'::text))"
ALL;PERMISSIVE;service role full access templates;{service_role};public;admin_event_templates;true;true
ALL;PERMISSIVE;super admins manage event templates;{authenticated};public;admin_event_templates;has_role(auth.uid(), 'super_admin'::app_role);has_role(auth.uid(), 'super_admin'::app_role)
INSERT;PERMISSIVE;Authenticated users can create admin notifications;{authenticated};public;admin_notifications;;true
SELECT;PERMISSIVE;Notificações visíveis apenas para super admin;{public};public;admin_notifications;"(( SELECT profiles.role
   FROM profiles
  WHERE (profiles.id = auth.uid())) = 'super_admin'::text)";
UPDATE;PERMISSIVE;Super admin pode atualizar notificações (marcar como lido);{public};public;admin_notifications;"(( SELECT profiles.role
   FROM profiles
  WHERE (profiles.id = auth.uid())) = 'super_admin'::text)";
