column_default;column_name;data_type;generation_expression;identity_cycle;identity_generation;identity_increment;identity_maximum;identity_minimum;identity_start;is_generated;is_identity;is_nullable;object_type;ordinal_position;schema_name;table_name;udt_name;udt_schema
gen_random_uuid();id;uuid;;NO;;;;;;NEVER;NO;NO;BASE TABLE;1;public;academy_lessons;uuid;pg_catalog
;module_id;uuid;;NO;;;;;;NEVER;NO;NO;BASE TABLE;2;public;academy_lessons;uuid;pg_catalog
;title;text;;NO;;;;;;NEVER;NO;NO;BASE TABLE;3;public;academy_lessons;text;pg_catalog
;summary;text;;NO;;;;;;NEVER;NO;YES;BASE TABLE;4;public;academy_lessons;text;pg_catalog
;content;text;;NO;;;;;;NEVER;NO;YES;BASE TABLE;5;public;academy_lessons;text;pg_catalog
;video_url;text;;NO;;;;;;NEVER;NO;YES;BASE TABLE;6;public;academy_lessons;text;pg_catalog
'[]'::jsonb;checklist;jsonb;;NO;;;;;;NEVER;NO;YES;BASE TABLE;7;public;academy_lessons;jsonb;pg_catalog
;tutorial_id;uuid;;NO;;;;;;NEVER;NO;YES;BASE TABLE;8;public;academy_lessons;uuid;pg_catalog
;route_path;text;;NO;;;;;;NEVER;NO;YES;BASE TABLE;9;public;academy_lessons;text;pg_catalog
;duration;text;;NO;;;;;;NEVER;NO;YES;BASE TABLE;10;public;academy_lessons;text;pg_catalog
0;order;integer;;NO;;;;;;NEVER;NO;YES;BASE TABLE;11;public;academy_lessons;int4;pg_catalog
'published'::text;status;text;;NO;;;;;;NEVER;NO;YES;BASE TABLE;12;public;academy_lessons;text;pg_catalog
now();created_at;timestamp with time zone;;NO;;;;;;NEVER;NO;YES;BASE TABLE;13;public;academy_lessons;timestamptz;pg_catalog
now();updated_at;timestamp with time zone;;NO;;;;;;NEVER;NO;YES;BASE TABLE;14;public;academy_lessons;timestamptz;pg_catalog
gen_random_uuid();id;uuid;;NO;;;;;;NEVER;NO;NO;BASE TABLE;1;public;academy_modules;uuid;pg_catalog
;path_id;uuid;;NO;;;;;;NEVER;NO;NO;BASE TABLE;2;public;academy_modules;uuid;pg_catalog
;name;text;;NO;;;;;;NEVER;NO;NO;BASE TABLE;3;public;academy_modules;text;pg_catalog
;description;text;;NO;;;;;;NEVER;NO;YES;BASE TABLE;4;public;academy_modules;text;pg_catalog
0;order;integer;;NO;;;;;;NEVER;NO;YES;BASE TABLE;5;public;academy_modules;int4;pg_catalog
now();created_at;timestamp with time zone;;NO;;;;;;NEVER;NO;YES;BASE TABLE;6;public;academy_modules;timestamptz;pg_catalog
gen_random_uuid();id;uuid;;NO;;;;;;NEVER;NO;NO;BASE TABLE;1;public;academy_paths;uuid;pg_catalog
;tenant_id;uuid;;NO;;;;;;NEVER;NO;YES;BASE TABLE;2;public;academy_paths;uuid;pg_catalog
;name;text;;NO;;;;;;NEVER;NO;NO;BASE TABLE;3;public;academy_paths;text;pg_catalog
;description;text;;NO;;;;;;NEVER;NO;YES;BASE TABLE;4;public;academy_paths;text;pg_catalog
;icon;text;;NO;;;;;;NEVER;NO;YES;BASE TABLE;5;public;academy_paths;text;pg_catalog
;profile_target;USER-DEFINED;;NO;;;;;;NEVER;NO;NO;BASE TABLE;6;public;academy_paths;app_role;public
'draft'::text;status;text;;NO;;;;;;NEVER;NO;NO;BASE TABLE;7;public;academy_paths;text;pg_catalog
0;order;integer;;NO;;;;;;NEVER;NO;YES;BASE TABLE;8;public;academy_paths;int4;pg_catalog
;duration;text;;NO;;;;;;NEVER;NO;YES;BASE TABLE;9;public;academy_paths;text;pg_catalog
;difficulty;text;;NO;;;;;;NEVER;NO;YES;BASE TABLE;10;public;academy_paths;text;pg_catalog
;level;text;;NO;;;;;;NEVER;NO;YES;BASE TABLE;11;public;academy_paths;text;pg_catalog
now();created_at;timestamp with time zone;;NO;;;;;;NEVER;NO;YES;BASE TABLE;12;public;academy_paths;timestamptz;pg_catalog
now();updated_at;timestamp with time zone;;NO;;;;;;NEVER;NO;YES;BASE TABLE;13;public;academy_paths;timestamptz;pg_catalog
gen_random_uuid();id;uuid;;NO;;;;;;NEVER;NO;NO;BASE TABLE;1;public;academy_progress;uuid;pg_catalog
;user_id;uuid;;NO;;;;;;NEVER;NO;NO;BASE TABLE;2;public;academy_progress;uuid;pg_catalog
;tenant_id;uuid;;NO;;;;;;NEVER;NO;NO;BASE TABLE;3;public;academy_progress;uuid;pg_catalog
;path_id;uuid;;NO;;;;;;NEVER;NO;NO;BASE TABLE;4;public;academy_progress;uuid;pg_catalog
;lesson_id;uuid;;NO;;;;;;NEVER;NO;NO;BASE TABLE;5;public;academy_progress;uuid;pg_catalog
'started'::text;status;text;;NO;;;;;;NEVER;NO;NO;BASE TABLE;6;public;academy_progress;text;pg_catalog
;completed_at;timestamp with time zone;;NO;;;;;;NEVER;NO;YES;BASE TABLE;7;public;academy_progress;timestamptz;pg_catalog
now();created_at;timestamp with time zone;;NO;;;;;;NEVER;NO;YES;BASE TABLE;8;public;academy_progress;timestamptz;pg_catalog
now();updated_at;timestamp with time zone;;NO;;;;;;NEVER;NO;YES;BASE TABLE;9;public;academy_progress;timestamptz;pg_catalog
gen_random_uuid();id;uuid;;NO;;;;;;NEVER;NO;NO;BASE TABLE;1;public;addon_upgrade_recommendations;uuid;pg_catalog
;tenant_id;uuid;;NO;;;;;;NEVER;NO;NO;BASE TABLE;2;public;addon_upgrade_recommendations;uuid;pg_catalog
;current_plan_id;uuid;;NO;;;;;;NEVER;NO;YES;BASE TABLE;3;public;addon_upgrade_recommendations;uuid;pg_catalog
;recommended_plan_id;uuid;;NO;;;;;;NEVER;NO;YES;BASE TABLE;4;public;addon_upgrade_recommendations;uuid;pg_catalog
'{}'::uuid[];selected_addon_ids;ARRAY;;NO;;;;;;NEVER;NO;NO;BASE TABLE;5;public;addon_upgrade_recommendations;_uuid;pg_catalog
'{}'::uuid[];active_addon_ids;ARRAY;;NO;;;;;;NEVER;NO;NO;BASE TABLE;6;public;addon_upgrade_recommendations;_uuid;pg_catalog
'monthly'::addon_billing_cycle;billing_cycle;USER-DEFINED;;NO;;;;;;NEVER;NO;NO;BASE TABLE;7;public;addon_upgrade_recommendations;addon_billing_cycle;public
0;current_option_total;numeric;;NO;;;;;;NEVER;NO;NO;BASE TABLE;8;public;addon_upgrade_recommendations;numeric;pg_catalog
0;upgrade_option_total;numeric;;NO;;;;;;NEVER;NO;NO;BASE TABLE;9;public;addon_upgrade_recommendations;numeric;pg_catalog
0;monthly_savings;numeric;;NO;;;;;;NEVER;NO;NO;BASE TABLE;10;public;addon_upgrade_recommendations;numeric;pg_catalog
0;annual_savings;numeric;;NO;;;;;;NEVER;NO;NO;BASE TABLE;11;public;addon_upgrade_recommendations;numeric;pg_catalog
;recommendation_reason;text;;NO;;;;;;NEVER;NO;YES;BASE TABLE;12;public;addon_upgrade_recommendations;text;pg_catalog
;customer_action;text;;NO;;;;;;NEVER;NO;YES;BASE TABLE;13;public;addon_upgrade_recommendations;text;pg_catalog
;action_taken_at;timestamp with time zone;;NO;;;;;;NEVER;NO;YES;BASE TABLE;14;public;addon_upgrade_recommendations;timestamptz;pg_catalog
now();shown_at;timestamp with time zone;;NO;;;;;;NEVER;NO;NO;BASE TABLE;15;public;addon_upgrade_recommendations;timestamptz;pg_catalog
now();created_at;timestamp with time zone;;NO;;;;;;NEVER;NO;NO;BASE TABLE;16;public;addon_upgrade_recommendations;timestamptz;pg_catalog
now();updated_at;timestamp with time zone;;NO;;;;;;NEVER;NO;NO;BASE TABLE;17;public;addon_upgrade_recommendations;timestamptz;pg_catalog
gen_random_uuid();id;uuid;;NO;;;;;;NEVER;NO;NO;BASE TABLE;1;public;admin_event_log;uuid;pg_catalog
;event_key;text;;NO;;;;;;NEVER;NO;NO;BASE TABLE;2;public;admin_event_log;text;pg_catalog
'info'::text;severity;text;;NO;;;;;;NEVER;NO;NO;BASE TABLE;3;public;admin_event_log;text;pg_catalog
'{}'::jsonb;payload;jsonb;;NO;;;;;;NEVER;NO;NO;BASE TABLE;4;public;admin_event_log;jsonb;pg_catalog
;tenant_id;uuid;;NO;;;;;;NEVER;NO;YES;BASE TABLE;5;public;admin_event_log;uuid;pg_catalog
0;recipients_count;integer;;NO;;;;;;NEVER;NO;NO;BASE TABLE;6;public;admin_event_log;int4;pg_catalog
'{}'::jsonb;channels_delivered;jsonb;;NO;;;;;;NEVER;NO;NO;BASE TABLE;7;public;admin_event_log;jsonb;pg_catalog
;error;text;;NO;;;;;;NEVER;NO;YES;BASE TABLE;8;public;admin_event_log;text;pg_catalog
now();created_at;timestamp with time zone;;NO;;;;;;NEVER;NO;NO;BASE TABLE;9;public;admin_event_log;timestamptz;pg_catalog
gen_random_uuid();id;uuid;;NO;;;;;;NEVER;NO;NO;BASE TABLE;1;public;admin_event_subscriptions;uuid;pg_catalog
;user_id;uuid;;NO;;;;;;NEVER;NO;NO;BASE TABLE;2;public;admin_event_subscriptions;uuid;pg_catalog
;event_key;text;;NO;;;;;;NEVER;NO;NO;BASE TABLE;3;public;admin_event_subscriptions;text;pg_catalog
true;channel_panel;boolean;;NO;;;;;;NEVER;NO;NO;BASE TABLE;4;public;admin_event_subscriptions;bool;pg_catalog
true;channel_push;boolean;;NO;;;;;;NEVER;NO;NO;BASE TABLE;5;public;admin_event_subscriptions;bool;pg_catalog
false;channel_whatsapp;boolean;;NO;;;;;;NEVER;NO;NO;BASE TABLE;6;public;admin_event_subscriptions;bool;pg_catalog
false;channel_email;boolean;;NO;;;;;;NEVER;NO;NO;BASE TABLE;7;public;admin_event_subscriptions;bool;pg_catalog
;whatsapp_phone;text;;NO;;;;;;NEVER;NO;YES;BASE TABLE;8;public;admin_event_subscriptions;text;pg_catalog
;email_address;text;;NO;;;;;;NEVER;NO;YES;BASE TABLE;9;public;admin_event_subscriptions;text;pg_catalog
true;enabled;boolean;;NO;;;;;;NEVER;NO;NO;BASE TABLE;10;public;admin_event_subscriptions;bool;pg_catalog
now();created_at;timestamp with time zone;;NO;;;;;;NEVER;NO;NO;BASE TABLE;11;public;admin_event_subscriptions;timestamptz;pg_catalog
now();updated_at;timestamp with time zone;;NO;;;;;;NEVER;NO;NO;BASE TABLE;12;public;admin_event_subscriptions;timestamptz;pg_catalog
;event_key;text;;NO;;;;;;NEVER;NO;NO;BASE TABLE;1;public;admin_event_templates;text;pg_catalog
;title_tpl;text;;NO;;;;;;NEVER;NO;NO;BASE TABLE;2;public;admin_event_templates;text;pg_catalog
''::text;message_tpl;text;;NO;;;;;;NEVER;NO;NO;BASE TABLE;3;public;admin_event_templates;text;pg_catalog
now();updated_at;timestamp with time zone;;NO;;;;;;NEVER;NO;NO;BASE TABLE;4;public;admin_event_templates;timestamptz;pg_catalog
;updated_by;uuid;;NO;;;;;;NEVER;NO;YES;BASE TABLE;5;public;admin_event_templates;uuid;pg_catalog
gen_random_uuid();id;uuid;;NO;;;;;;NEVER;NO;NO;BASE TABLE;1;public;admin_notifications;uuid;pg_catalog
;type;text;;NO;;;;;;NEVER;NO;NO;BASE TABLE;2;public;admin_notifications;text;pg_catalog
;title;text;;NO;;;;;;NEVER;NO;NO;BASE TABLE;3;public;admin_notifications;text;pg_catalog
;description;text;;NO;;;;;;NEVER;NO;YES;BASE TABLE;4;public;admin_notifications;text;pg_catalog
;reference_id;uuid;;NO;;;;;;NEVER;NO;YES;BASE TABLE;5;public;admin_notifications;uuid;pg_catalog
false;is_read;boolean;;NO;;;;;;NEVER;NO;YES;BASE TABLE;6;public;admin_notifications;bool;pg_catalog
now();created_at;timestamp with time zone;;NO;;;;;;NEVER;NO;NO;BASE TABLE;7;public;admin_notifications;timestamptz;pg_catalog
;message;text;;NO;;;;;;NEVER;NO;YES;BASE TABLE;8;public;admin_notifications;text;pg_catalog
;tenant_id;uuid;;NO;;;;;;NEVER;NO;YES;BASE TABLE;9;public;admin_notifications;uuid;pg_catalog
;user_id;uuid;;NO;;;;;;NEVER;NO;YES;BASE TABLE;10;public;admin_notifications;uuid;pg_catalog
;related_entity_type;text;;NO;;;;;;NEVER;NO;YES;BASE TABLE;11;public;admin_notifications;text;pg_catalog
;related_entity_id;uuid;;NO;;;;;;NEVER;NO;YES;BASE TABLE;12;public;admin_notifications;uuid;pg_catalog
;action_url;text;;NO;;;;;;NEVER;NO;YES;BASE TABLE;13;public;admin_notifications;text;pg_catalog
'normal'::text;priority;text;;NO;;;;;;NEVER;NO;NO;BASE TABLE;14;public;admin_notifications;text;pg_catalog
;read_at;timestamp with time zone;;NO;;;;;;NEVER;NO;YES;BASE TABLE;15;public;admin_notifications;timestamptz;pg_catalog
false;archived;boolean;;NO;;;;;;NEVER;NO;NO;BASE TABLE;16;public;admin_notifications;bool;pg_catalog
;event_key;text;;NO;;;;;;NEVER;NO;YES;BASE TABLE;17;public;admin_notifications;text;pg_catalog
'info'::text;severity;text;;NO;;;;;;NEVER;NO;NO;BASE TABLE;18;public;admin_notifications;text;pg_catalog
'{}'::jsonb;payload;jsonb;;NO;;;;;;NEVER;NO;NO;BASE TABLE;19;public;admin_notifications;jsonb;pg_catalog
gen_random_uuid();id;uuid;;NO;;;;;;NEVER;NO;NO;BASE TABLE;1;public;ai_settings;uuid;pg_catalog
;tenant_id;uuid;;NO;;;;;;NEVER;NO;NO;BASE TABLE;2;public;ai_settings;uuid;pg_catalog
'openai'::text;provider;text;;NO;;;;;;NEVER;NO;NO;BASE TABLE;3;public;ai_settings;text;pg_catalog
;api_key;text;;NO;;;;;;NEVER;NO;YES;BASE TABLE;4;public;ai_settings;text;pg_catalog
'gpt-3.5-turbo'::text;model;text;;NO;;;;;;NEVER;NO;YES;BASE TABLE;5;public;ai_settings;text;pg_catalog
now();created_at;timestamp with time zone;;NO;;;;;;NEVER;NO;NO;BASE TABLE;6;public;ai_settings;timestamptz;pg_catalog
now();updated_at;timestamp with time zone;;NO;;;;;;NEVER;NO;NO;BASE TABLE;7;public;ai_settings;timestamptz;pg_catalog
gen_random_uuid();id;uuid;;NO;;;;;;NEVER;NO;NO;BASE TABLE;1;public;appointment_checkins;uuid;pg_catalog
;appointment_id;uuid;;NO;;;;;;NEVER;NO;NO;BASE TABLE;2;public;appointment_checkins;uuid;pg_catalog
;tenant_id;uuid;;NO;;;;;;NEVER;NO;NO;BASE TABLE;3;public;appointment_checkins;uuid;pg_catalog
;customer_id;uuid;;NO;;;;;;NEVER;NO;YES;BASE TABLE;4;public;appointment_checkins;uuid;pg_catalog
'qr'::text;source;text;;NO;;;;;;NEVER;NO;NO;BASE TABLE;5;public;appointment_checkins;text;pg_catalog
now();checked_in_at;timestamp with time zone;;NO;;;;;;NEVER;NO;NO;BASE TABLE;6;public;appointment_checkins;timestamptz;pg_catalog
now();created_at;timestamp with time zone;;NO;;;;;;NEVER;NO;NO;BASE TABLE;7;public;appointment_checkins;timestamptz;pg_catalog
gen_random_uuid();id;uuid;;NO;;;;;;NEVER;NO;NO;BASE TABLE;1;public;appointment_groups;uuid;pg_catalog
;tenant_id;uuid;;NO;;;;;;NEVER;NO;NO;BASE TABLE;2;public;appointment_groups;uuid;pg_catalog
;customer_id;uuid;;NO;;;;;;NEVER;NO;YES;BASE TABLE;3;public;appointment_groups;uuid;pg_catalog
;group_token;text;;NO;;;;;;NEVER;NO;NO;BASE TABLE;4;public;appointment_groups;text;pg_catalog
0;total_amount;numeric;;NO;;;;;;NEVER;NO;YES;BASE TABLE;5;public;appointment_groups;numeric;pg_catalog
'pending'::text;payment_status;text;;NO;;;;;;NEVER;NO;YES;BASE TABLE;6;public;appointment_groups;text;pg_catalog
'active'::text;status;text;;NO;;;;;;NEVER;NO;YES;BASE TABLE;7;public;appointment_groups;text;pg_catalog
now();created_at;timestamp with time zone;;NO;;;;;;NEVER;NO;YES;BASE TABLE;8;public;appointment_groups;timestamptz;pg_catalog
now();updated_at;timestamp with time zone;;NO;;;;;;NEVER;NO;YES;BASE TABLE;9;public;appointment_groups;timestamptz;pg_catalog
gen_random_uuid();id;uuid;;NO;;;;;;NEVER;NO;NO;BASE TABLE;1;public;appointment_reviews;uuid;pg_catalog
;tenant_id;uuid;;NO;;;;;;NEVER;NO;NO;BASE TABLE;2;public;appointment_reviews;uuid;pg_catalog
;appointment_id;uuid;;NO;;;;;;NEVER;NO;NO;BASE TABLE;3;public;appointment_reviews;uuid;pg_catalog
;customer_id;uuid;;NO;;;;;;NEVER;NO;YES;BASE TABLE;4;public;appointment_reviews;uuid;pg_catalog
;barber_id;uuid;;NO;;;;;;NEVER;NO;YES;BASE TABLE;5;public;appointment_reviews;uuid;pg_catalog
;barbershop_rating;integer;;NO;;;;;;NEVER;NO;YES;BASE TABLE;6;public;appointment_reviews;int4;pg_catalog
;barber_rating;integer;;NO;;;;;;NEVER;NO;YES;BASE TABLE;7;public;appointment_reviews;int4;pg_catalog
;testimonial_text;text;;NO;;;;;;NEVER;NO;YES;BASE TABLE;8;public;appointment_reviews;text;pg_catalog
'pending'::text;testimonial_status;text;;NO;;;;;;NEVER;NO;NO;BASE TABLE;9;public;appointment_reviews;text;pg_catalog
false;show_on_frontend;boolean;;NO;;;;;;NEVER;NO;NO;BASE TABLE;10;public;appointment_reviews;bool;pg_catalog
now();created_at;timestamp with time zone;;NO;;;;;;NEVER;NO;NO;BASE TABLE;11;public;appointment_reviews;timestamptz;pg_catalog
;approved_at;timestamp with time zone;;NO;;;;;;NEVER;NO;YES;BASE TABLE;12;public;appointment_reviews;timestamptz;pg_catalog
;approved_by;uuid;;NO;;;;;;NEVER;NO;YES;BASE TABLE;13;public;appointment_reviews;uuid;pg_catalog
;review_token;uuid;;NO;;;;;;NEVER;NO;YES;BASE TABLE;14;public;appointment_reviews;uuid;pg_catalog
;token_expires_at;timestamp with time zone;;NO;;;;;;NEVER;NO;YES;BASE TABLE;15;public;appointment_reviews;timestamptz;pg_catalog
;token_used_at;timestamp with time zone;;NO;;;;;;NEVER;NO;YES;BASE TABLE;16;public;appointment_reviews;timestamptz;pg_catalog
;would_recommend;text;;NO;;;;;;NEVER;NO;YES;BASE TABLE;17;public;appointment_reviews;text;pg_catalog
;submitted_at;timestamp with time zone;;NO;;;;;;NEVER;NO;YES;BASE TABLE;18;public;appointment_reviews;timestamptz;pg_catalog
now();updated_at;timestamp with time zone;;NO;;;;;;NEVER;NO;NO;BASE TABLE;19;public;appointment_reviews;timestamptz;pg_catalog
;service_id;uuid;;NO;;;;;;NEVER;NO;YES;BASE TABLE;20;public;appointment_reviews;uuid;pg_catalog
;service_rating;integer;;NO;;;;;;NEVER;NO;YES;BASE TABLE;21;public;appointment_reviews;int4;pg_catalog
false;allow_public_display;boolean;;NO;;;;;;NEVER;NO;NO;BASE TABLE;22;public;appointment_reviews;bool;pg_catalog
;reply;text;;NO;;;;;;NEVER;NO;YES;BASE TABLE;23;public;appointment_reviews;text;pg_catalog
;reply_at;timestamp with time zone;;NO;;;;;;NEVER;NO;YES;BASE TABLE;24;public;appointment_reviews;timestamptz;pg_catalog
;reply_by;uuid;;NO;;;;;;NEVER;NO;YES;BASE TABLE;25;public;appointment_reviews;uuid;pg_catalog
;rejected_at;timestamp with time zone;;NO;;;;;;NEVER;NO;YES;BASE TABLE;26;public;appointment_reviews;timestamptz;pg_catalog
;rejected_by;uuid;;NO;;;;;;NEVER;NO;YES;BASE TABLE;27;public;appointment_reviews;uuid;pg_catalog
;reply_reminder_sent_at;timestamp with time zone;;NO;;;;;;NEVER;NO;YES;BASE TABLE;28;public;appointment_reviews;timestamptz;pg_catalog
gen_random_uuid();id;uuid;;NO;;;;;;NEVER;NO;NO;BASE TABLE;1;public;appointment_status_logs;uuid;pg_catalog
;appointment_id;uuid;;NO;;;;;;NEVER;NO;NO;BASE TABLE;2;public;appointment_status_logs;uuid;pg_catalog
;old_status;text;;NO;;;;;;NEVER;NO;YES;BASE TABLE;3;public;appointment_status_logs;text;pg_catalog
;new_status;text;;NO;;;;;;NEVER;NO;NO;BASE TABLE;4;public;appointment_status_logs;text;pg_catalog
;changed_by_type;text;;NO;;;;;;NEVER;NO;NO;BASE TABLE;5;public;appointment_status_logs;text;pg_catalog
;changed_by_id;uuid;;NO;;;;;;NEVER;NO;YES;BASE TABLE;6;public;appointment_status_logs;uuid;pg_catalog
;source;text;;NO;;;;;;NEVER;NO;NO;BASE TABLE;7;public;appointment_status_logs;text;pg_catalog
'{}'::jsonb;metadata;jsonb;;NO;;;;;;NEVER;NO;YES;BASE TABLE;8;public;appointment_status_logs;jsonb;pg_catalog
now();created_at;timestamp with time zone;;NO;;;;;;NEVER;NO;NO;BASE TABLE;9;public;appointment_status_logs;timestamptz;pg_catalog
;error;text;;NO;;;;;;NEVER;NO;YES;BASE TABLE;10;public;appointment_status_logs;text;pg_catalog
;rpc_response;jsonb;;NO;;;;;;NEVER;NO;YES;BASE TABLE;11;public;appointment_status_logs;jsonb;pg_catalog
;status_before;text;;NO;;;;;;NEVER;NO;YES;BASE TABLE;12;public;appointment_status_logs;text;pg_catalog
;status_after;text;;NO;;;;;;NEVER;NO;YES;BASE TABLE;13;public;appointment_status_logs;text;pg_catalog
gen_random_uuid();id;uuid;;NO;;;;;;NEVER;NO;NO;BASE TABLE;1;public;appointments;uuid;pg_catalog
;user_id;uuid;;NO;;;;;;NEVER;NO;NO;BASE TABLE;2;public;appointments;uuid;pg_catalog
