constraint_definition;constraint_name;constraint_type;initially_deferred;is_deferrable;is_validated;schema_name;table_name
PRIMARY KEY (id);academy_lessons_pkey;PRIMARY KEY;false;false;true;public;academy_lessons
PRIMARY KEY (id);academy_modules_pkey;PRIMARY KEY;false;false;true;public;academy_modules
PRIMARY KEY (id);academy_paths_pkey;PRIMARY KEY;false;false;true;public;academy_paths
PRIMARY KEY (id);academy_progress_pkey;PRIMARY KEY;false;false;true;public;academy_progress
UNIQUE (user_id, lesson_id);academy_progress_user_id_lesson_id_key;UNIQUE;false;false;true;public;academy_progress
CHECK (customer_action = ANY (ARRAY['upgraded'::text, 'kept_addons'::text, 'reviewed_selection'::text, 'dismissed'::text]));addon_upgrade_recommendations_customer_action_check;CHECK;false;false;true;public;addon_upgrade_recommendations
PRIMARY KEY (id);addon_upgrade_recommendations_pkey;PRIMARY KEY;false;false;true;public;addon_upgrade_recommendations
PRIMARY KEY (id);admin_event_log_pkey;PRIMARY KEY;false;false;true;public;admin_event_log
PRIMARY KEY (id);admin_event_subscriptions_pkey;PRIMARY KEY;false;false;true;public;admin_event_subscriptions
UNIQUE (user_id, event_key);admin_event_subscriptions_user_id_event_key_key;UNIQUE;false;false;true;public;admin_event_subscriptions
PRIMARY KEY (event_key);admin_event_templates_pkey;PRIMARY KEY;false;false;true;public;admin_event_templates
PRIMARY KEY (id);admin_notifications_pkey;PRIMARY KEY;false;false;true;public;admin_notifications
PRIMARY KEY (id);ai_settings_pkey;PRIMARY KEY;false;false;true;public;ai_settings
UNIQUE (tenant_id);ai_settings_tenant_id_key;UNIQUE;false;false;true;public;ai_settings
PRIMARY KEY (id);appointment_checkins_pkey;PRIMARY KEY;false;false;true;public;appointment_checkins
UNIQUE (appointment_id);appointment_checkins_appointment_id_key;UNIQUE;false;false;true;public;appointment_checkins
PRIMARY KEY (id);appointment_groups_pkey;PRIMARY KEY;false;false;true;public;appointment_groups
UNIQUE (group_token);appointment_groups_group_token_key;UNIQUE;false;false;true;public;appointment_groups
CHECK (barber_rating >= 1 AND barber_rating <= 5);appointment_reviews_barber_rating_check;CHECK;false;false;true;public;appointment_reviews
CHECK (barbershop_rating >= 1 AND barbershop_rating <= 5);appointment_reviews_barbershop_rating_check;CHECK;false;false;true;public;appointment_reviews
CHECK (service_rating IS NULL OR service_rating >= 1 AND service_rating <= 5);appointment_reviews_service_rating_check;CHECK;false;false;true;public;appointment_reviews
CHECK (testimonial_status = ANY (ARRAY['pending'::text, 'approved'::text, 'rejected'::text]));appointment_reviews_testimonial_status_check;CHECK;false;false;true;public;appointment_reviews
CHECK (would_recommend = ANY (ARRAY['yes'::text, 'maybe'::text, 'no'::text]));appointment_reviews_would_recommend_check;CHECK;false;false;true;public;appointment_reviews
PRIMARY KEY (id);appointment_reviews_pkey;PRIMARY KEY;false;false;true;public;appointment_reviews
UNIQUE (appointment_id);appointment_reviews_appointment_id_key;UNIQUE;false;false;true;public;appointment_reviews
UNIQUE (review_token);appointment_reviews_review_token_key;UNIQUE;false;false;true;public;appointment_reviews
PRIMARY KEY (id);appointment_status_logs_pkey;PRIMARY KEY;false;false;true;public;appointment_status_logs
CHECK (appointment_type = ANY (ARRAY['online'::text, 'walk_in'::text]));appointments_appointment_type_check;CHECK;false;false;true;public;appointments
CHECK (refund_status = ANY (ARRAY['none'::text, 'not_applicable'::text, 'refund_requested'::text, 'refund_approved'::text, 'refund_rejected'::text, 'refunded'::text, 'converted_to_credit'::text, 'pending'::text, 'requested'::text, 'approved'::text, 'completed'::text, 'cancelled'::text]));appointments_refund_status_check;CHECK;false;false;true;public;appointments
CHECK (refund_type = ANY (ARRAY['credits'::text, 'refund'::text]));appointments_refund_type_check;CHECK;false;false;true;public;appointments
CHECK (review_decision IS NULL OR (review_decision = ANY (ARRAY['pending'::text, 'submitted'::text, 'skipped'::text])));appointments_review_decision_check;CHECK;false;false;true;public;appointments
PRIMARY KEY (id);appointments_pkey;PRIMARY KEY;false;false;true;public;appointments
PRIMARY KEY (id);audit_logs_pkey;PRIMARY KEY;false;false;true;public;audit_logs
PRIMARY KEY (id);automation_conversations_pkey;PRIMARY KEY;false;false;true;public;automation_conversations
PRIMARY KEY (id);automation_cron_runs_pkey;PRIMARY KEY;false;false;true;public;automation_cron_runs
PRIMARY KEY (id);automation_dispatches_pkey;PRIMARY KEY;false;false;true;public;automation_dispatches
UNIQUE (unique_key);automation_dispatches_unique_key_key;UNIQUE;false;false;true;public;automation_dispatches
CHECK (event_type = ANY (ARRAY['sent'::text, 'delivered'::text, 'read'::text, 'clicked'::text, 'replied'::text, 'timeout'::text, 'failed'::text, 'action_executed'::text]));automation_interaction_events_type_check;CHECK;false;false;true;public;automation_interaction_events
PRIMARY KEY (id);automation_interaction_events_pkey;PRIMARY KEY;false;false;true;public;automation_interaction_events
