enum_name;enumlabel;enumsortorder;schema_name
addon_access_source;addon;1;public
addon_access_source;plan;2;public
addon_access_source;voucher;3;public
addon_billing_cycle;monthly;1;public
addon_billing_cycle;annual;2;public
app_role;super_admin;1;public
app_role;admin;2;public
app_role;tenant_admin;3;public
app_role;barber;4;public
app_role;client;5;public
app_role;reception;6;public
app_role;manager;7;public
app_role;receptionist;8;public
app_role;financial;9;public
app_role;cashier;10;public
app_role;professional;11;public
approval_status;not_required;1;public
approval_status;pending;2;public
approval_status;approved;3;public
approval_status;rejected;4;public
automation_flow_type;single;1;public
automation_flow_type;multi;2;public
communication_category;transactional;1;public
communication_category;operational;2;public
communication_category;commercial;3;public
communication_category;billing;4;public
communication_category;support;5;public
communication_category;internal;6;public
communication_category;security;7;public
communication_channel_type;whatsapp;1;public
communication_channel_type;email;2;public
communication_channel_type;sms;3;public
communication_channel_type;push;4;public
communication_channel_type;internal;5;public
communication_channel_type;telegram;6;public
communication_channel_type;instagram;7;public
communication_message_status;pending;1;public
communication_message_status;queued;2;public
communication_message_status;processing;3;public
communication_message_status;sent;4;public
communication_message_status;delivered;5;public
communication_message_status;read;6;public
communication_message_status;replied;7;public
communication_message_status;failed;8;public
communication_message_status;cancelled;9;public
communication_message_status;expired;10;public
identity_status;legacy;1;public
identity_status;pending;2;public
identity_status;completed;3;public
loyalty_category;visit;1;public
loyalty_category;spend;2;public
loyalty_category;referral;3;public
loyalty_category;social;4;public
loyalty_category;special;5;public
product_sale_status;completed;1;public
product_sale_status;cancelled;2;public
product_sale_status;refunded;3;public
time_off_status;scheduled;1;public
time_off_status;active;2;public
time_off_status;completed;3;public
time_off_status;cancelled;4;public
time_off_type;day_off;1;public
time_off_type;personal_block;2;public
time_off_type;break;3;public
time_off_type;meeting;4;public
time_off_type;training;5;public
time_off_type;vacation;6;public
time_off_type;medical_leave;7;public
time_off_type;personal_leave;8;public
time_off_type;suspension;9;public
time_off_type;other;10;public
tour_status;not_started;1;public
tour_status;in_progress;2;public
tour_status;completed;3;public
tour_status;skipped;4;public
