constraint_definition;constraint_name;initially_deferred;is_deferrable;match_type;on_delete;on_update;source_columns;source_schema;source_table;target_columns;target_schema;target_table
FOREIGN KEY (module_id) REFERENCES academy_modules(id) ON DELETE CASCADE;academy_lessons_module_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;module_id;public;academy_lessons;id;public;academy_modules
FOREIGN KEY (tutorial_id) REFERENCES tutorials(id) ON DELETE SET NULL;academy_lessons_tutorial_id_fkey;false;false;SIMPLE;SET NULL;NO ACTION;tutorial_id;public;academy_lessons;id;public;tutorials
FOREIGN KEY (path_id) REFERENCES academy_paths(id) ON DELETE CASCADE;academy_modules_path_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;path_id;public;academy_modules;id;public;academy_paths
FOREIGN KEY (tenant_id) REFERENCES profiles(id) ON DELETE CASCADE;academy_paths_tenant_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;tenant_id;public;academy_paths;id;public;profiles
FOREIGN KEY (lesson_id) REFERENCES academy_lessons(id) ON DELETE CASCADE;academy_progress_lesson_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;lesson_id;public;academy_progress;id;public;academy_lessons
FOREIGN KEY (path_id) REFERENCES academy_paths(id) ON DELETE CASCADE;academy_progress_path_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;path_id;public;academy_progress;id;public;academy_paths
FOREIGN KEY (tenant_id) REFERENCES profiles(id) ON DELETE CASCADE;academy_progress_tenant_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;tenant_id;public;academy_progress;id;public;profiles
FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE;academy_progress_user_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;user_id;public;academy_progress;id;auth;users
FOREIGN KEY (current_plan_id) REFERENCES plans(id) ON DELETE SET NULL;addon_upgrade_recommendations_current_plan_id_fkey;false;false;SIMPLE;SET NULL;NO ACTION;current_plan_id;public;addon_upgrade_recommendations;id;public;plans
FOREIGN KEY (recommended_plan_id) REFERENCES plans(id) ON DELETE SET NULL;addon_upgrade_recommendations_recommended_plan_id_fkey;false;false;SIMPLE;SET NULL;NO ACTION;recommended_plan_id;public;addon_upgrade_recommendations;id;public;plans
FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE;admin_event_subscriptions_user_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;user_id;public;admin_event_subscriptions;id;auth;users
FOREIGN KEY (updated_by) REFERENCES auth.users(id) ON DELETE SET NULL;admin_event_templates_updated_by_fkey;false;false;SIMPLE;SET NULL;NO ACTION;updated_by;public;admin_event_templates;id;auth;users
FOREIGN KEY (tenant_id) REFERENCES profiles(id) ON DELETE CASCADE;ai_settings_tenant_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;tenant_id;public;ai_settings;id;public;profiles
FOREIGN KEY (appointment_id) REFERENCES appointments(id) ON DELETE CASCADE;appointment_checkins_appointment_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;appointment_id;public;appointment_checkins;id;public;appointments
FOREIGN KEY (customer_id) REFERENCES customers(id) ON DELETE SET NULL;appointment_groups_customer_id_fkey;false;false;SIMPLE;SET NULL;NO ACTION;customer_id;public;appointment_groups;id;public;customers
FOREIGN KEY (tenant_id) REFERENCES profiles(id) ON DELETE CASCADE;appointment_groups_tenant_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;tenant_id;public;appointment_groups;id;public;profiles
FOREIGN KEY (appointment_id) REFERENCES appointments(id) ON DELETE CASCADE;appointment_reviews_appointment_id_fkey;false;false;SIMPLE;CASCADE;NO ACTION;appointment_id;public;appointment_reviews;id;public;appointments
FOREIGN KEY (barber_id) REFERENCES barbers(id) ON DELETE SET NULL;appointment_reviews_barber_id_fkey;false;false;SIMPLE;SET NULL;NO ACTION;barber_id;public;appointment_reviews;id;public;barbers
