index_definition;index_name;schema_name;table_name
CREATE UNIQUE INDEX academy_lessons_pkey ON public.academy_lessons USING btree (id);academy_lessons_pkey;public;academy_lessons
CREATE UNIQUE INDEX academy_modules_pkey ON public.academy_modules USING btree (id);academy_modules_pkey;public;academy_modules
CREATE UNIQUE INDEX academy_paths_pkey ON public.academy_paths USING btree (id);academy_paths_pkey;public;academy_paths
CREATE UNIQUE INDEX academy_progress_pkey ON public.academy_progress USING btree (id);academy_progress_pkey;public;academy_progress
CREATE UNIQUE INDEX academy_progress_user_id_lesson_id_key ON public.academy_progress USING btree (user_id, lesson_id);academy_progress_user_id_lesson_id_key;public;academy_progress
CREATE UNIQUE INDEX addon_upgrade_recommendations_pkey ON public.addon_upgrade_recommendations USING btree (id);addon_upgrade_recommendations_pkey;public;addon_upgrade_recommendations
CREATE INDEX idx_addon_upgrade_rec_created ON public.addon_upgrade_recommendations USING btree (created_at DESC);idx_addon_upgrade_rec_created;public;addon_upgrade_recommendations
CREATE INDEX idx_addon_upgrade_rec_tenant ON public.addon_upgrade_recommendations USING btree (tenant_id);idx_addon_upgrade_rec_tenant;public;addon_upgrade_recommendations
CREATE UNIQUE INDEX admin_event_log_pkey ON public.admin_event_log USING btree (id);admin_event_log_pkey;public;admin_event_log
CREATE INDEX idx_admin_event_log_event_key ON public.admin_event_log USING btree (event_key, created_at DESC);idx_admin_event_log_event_key;public;admin_event_log
CREATE INDEX idx_admin_event_log_tenant ON public.admin_event_log USING btree (tenant_id, created_at DESC);idx_admin_event_log_tenant;public;admin_event_log
CREATE UNIQUE INDEX admin_event_subscriptions_pkey ON public.admin_event_subscriptions USING btree (id);admin_event_subscriptions_pkey;public;admin_event_subscriptions
CREATE UNIQUE INDEX admin_event_subscriptions_user_id_event_key_key ON public.admin_event_subscriptions USING btree (user_id, event_key);admin_event_subscriptions_user_id_event_key_key;public;admin_event_subscriptions
CREATE UNIQUE INDEX admin_event_templates_pkey ON public.admin_event_templates USING btree (event_key);admin_event_templates_pkey;public;admin_event_templates
CREATE UNIQUE INDEX admin_notifications_pkey ON public.admin_notifications USING btree (id);admin_notifications_pkey;public;admin_notifications
CREATE INDEX idx_admin_notifications_created_at ON public.admin_notifications USING btree (created_at DESC);idx_admin_notifications_created_at;public;admin_notifications
CREATE INDEX idx_admin_notifications_event_key ON public.admin_notifications USING btree (event_key, created_at DESC);idx_admin_notifications_event_key;public;admin_notifications
CREATE INDEX idx_admin_notifications_priority ON public.admin_notifications USING btree (priority);idx_admin_notifications_priority;public;admin_notifications
CREATE INDEX idx_admin_notifications_unread ON public.admin_notifications USING btree (is_read, created_at DESC);idx_admin_notifications_unread;public;admin_notifications
CREATE UNIQUE INDEX ai_settings_pkey ON public.ai_settings USING btree (id);ai_settings_pkey;public;ai_settings
CREATE UNIQUE INDEX ai_settings_tenant_id_key ON public.ai_settings USING btree (tenant_id);ai_settings_tenant_id_key;public;ai_settings
CREATE UNIQUE INDEX appointment_checkins_appointment_id_key ON public.appointment_checkins USING btree (appointment_id);appointment_checkins_appointment_id_key;public;appointment_checkins
CREATE UNIQUE INDEX appointment_checkins_pkey ON public.appointment_checkins USING btree (id);appointment_checkins_pkey;public;appointment_checkins
CREATE UNIQUE INDEX appointment_groups_group_token_key ON public.appointment_groups USING btree (group_token);appointment_groups_group_token_key;public;appointment_groups
CREATE UNIQUE INDEX appointment_groups_pkey ON public.appointment_groups USING btree (id);appointment_groups_pkey;public;appointment_groups
CREATE UNIQUE INDEX appointment_reviews_appointment_id_key ON public.appointment_reviews USING btree (appointment_id);appointment_reviews_appointment_id_key;public;appointment_reviews
CREATE UNIQUE INDEX appointment_reviews_pkey ON public.appointment_reviews USING btree (id);appointment_reviews_pkey;public;appointment_reviews
CREATE UNIQUE INDEX appointment_reviews_review_token_key ON public.appointment_reviews USING btree (review_token);appointment_reviews_review_token_key;public;appointment_reviews
CREATE INDEX idx_appointment_reviews_barber ON public.appointment_reviews USING btree (barber_id);idx_appointment_reviews_barber;public;appointment_reviews
CREATE INDEX idx_appointment_reviews_status ON public.appointment_reviews USING btree (testimonial_status);idx_appointment_reviews_status;public;appointment_reviews
CREATE INDEX idx_appointment_reviews_tenant ON public.appointment_reviews USING btree (tenant_id);idx_appointment_reviews_tenant;public;appointment_reviews
CREATE INDEX idx_appointment_reviews_token ON public.appointment_reviews USING btree (review_token) WHERE (review_token IS NOT NULL);idx_appointment_reviews_token;public;appointment_reviews
CREATE UNIQUE INDEX appointment_status_logs_pkey ON public.appointment_status_logs USING btree (id);appointment_status_logs_pkey;public;appointment_status_logs
CREATE UNIQUE INDEX appointments_management_token_idx ON public.appointments USING btree (management_token);appointments_management_token_idx;public;appointments
CREATE UNIQUE INDEX appointments_pkey ON public.appointments USING btree (id);appointments_pkey;public;appointments
CREATE INDEX idx_appointments_confirmation_sent ON public.appointments USING btree (confirmation_sent);idx_appointments_confirmation_sent;public;appointments
CREATE INDEX idx_appointments_confirmation_sent_at ON public.appointments USING btree (confirmation_sent_at);idx_appointments_confirmation_sent_at;public;appointments
CREATE INDEX idx_appointments_customer_id ON public.appointments USING btree (customer_id);idx_appointments_customer_id;public;appointments
CREATE INDEX idx_appointments_group_id ON public.appointments USING btree (appointment_group_id);idx_appointments_group_id;public;appointments
CREATE INDEX idx_appointments_reminder_sent ON public.appointments USING btree (reminder_sent);idx_appointments_reminder_sent;public;appointments
CREATE INDEX idx_appointments_reminder_sent_at ON public.appointments USING btree (reminder_sent_at);idx_appointments_reminder_sent_at;public;appointments
CREATE INDEX idx_appointments_review_decision ON public.appointments USING btree (review_decision);idx_appointments_review_decision;public;appointments
CREATE INDEX idx_appointments_tenant_id ON public.appointments USING btree (tenant_id);idx_appointments_tenant_id;public;appointments
CREATE INDEX idx_appointments_tenant_status ON public.appointments USING btree (tenant_id, status);idx_appointments_tenant_status;public;appointments
CREATE INDEX idx_appointments_type_tenant ON public.appointments USING btree (tenant_id, appointment_type, status);idx_appointments_type_tenant;public;appointments
CREATE INDEX idx_appointments_walkin_barber_time ON public.appointments USING btree (barber_id, start_time) WHERE (appointment_type = 'walk_in'::text);idx_appointments_walkin_barber_time;public;appointments
CREATE INDEX idx_appts_subscription ON public.appointments USING btree (subscription_id);idx_appts_subscription;public;appointments
CREATE UNIQUE INDEX audit_logs_pkey ON public.audit_logs USING btree (id);audit_logs_pkey;public;audit_logs
CREATE UNIQUE INDEX automation_conversations_pkey ON public.automation_conversations USING btree (id);automation_conversations_pkey;public;automation_conversations
CREATE INDEX idx_automation_conv_phone ON public.automation_conversations USING btree (phone);idx_automation_conv_phone;public;automation_conversations
CREATE INDEX idx_automation_conv_tenant ON public.automation_conversations USING btree (tenant_id);idx_automation_conv_tenant;public;automation_conversations
CREATE UNIQUE INDEX automation_cron_runs_pkey ON public.automation_cron_runs USING btree (id);automation_cron_runs_pkey;public;automation_cron_runs
CREATE UNIQUE INDEX automation_dispatches_pkey ON public.automation_dispatches USING btree (id);automation_dispatches_pkey;public;automation_dispatches
CREATE UNIQUE INDEX automation_dispatches_unique_key_key ON public.automation_dispatches USING btree (unique_key);automation_dispatches_unique_key_key;public;automation_dispatches
CREATE INDEX idx_automation_disp_status ON public.automation_dispatches USING btree (status);idx_automation_disp_status;public;automation_dispatches
CREATE INDEX idx_automation_disp_tenant ON public.automation_dispatches USING btree (tenant_id);idx_automation_disp_tenant;public;automation_dispatches
CREATE UNIQUE INDEX automation_interaction_events_pkey ON public.automation_interaction_events USING btree (id);automation_interaction_events_pkey;public;automation_interaction_events
CREATE INDEX idx_automation_interaction_events_dispatch ON public.automation_interaction_events USING btree (dispatch_id);idx_automation_interaction_events_dispatch;public;automation_interaction_events
CREATE INDEX idx_automation_interaction_events_interaction ON public.automation_interaction_events USING btree (interaction_id);idx_automation_interaction_events_interaction;public;automation_interaction_events
CREATE INDEX idx_automation_interaction_events_tenant ON public.automation_interaction_events USING btree (tenant_id, created_at DESC);idx_automation_interaction_events_tenant;public;automation_interaction_events
CREATE INDEX idx_automation_interaction_events_workflow ON public.automation_interaction_events USING btree (workflow_key, created_at DESC);idx_automation_interaction_events_workflow;public;automation_interaction_events
CREATE UNIQUE INDEX automation_interactions_pkey ON public.automation_interactions USING btree (id);automation_interactions_pkey;public;automation_interactions
CREATE INDEX idx_automation_interactions_automation ON public.automation_interactions USING btree (automation_id) WHERE (automation_id IS NOT NULL);idx_automation_interactions_automation;public;automation_interactions
CREATE INDEX idx_automation_interactions_template ON public.automation_interactions USING btree (automation_template_id) WHERE (automation_template_id IS NOT NULL);idx_automation_interactions_template;public;automation_interactions
CREATE INDEX idx_automation_interactions_tenant ON public.automation_interactions USING btree (tenant_id);idx_automation_interactions_tenant;public;automation_interactions
CREATE UNIQUE INDEX automation_logs_pkey ON public.automation_logs USING btree (id);automation_logs_pkey;public;automation_logs
CREATE INDEX idx_automation_logs_conv ON public.automation_logs USING btree (conversation_id);idx_automation_logs_conv;public;automation_logs
CREATE INDEX idx_automation_logs_created_at ON public.automation_logs USING btree (created_at DESC);idx_automation_logs_created_at;public;automation_logs
CREATE UNIQUE INDEX idx_automation_logs_idempotency ON public.automation_logs USING btree (idempotency_key);idx_automation_logs_idempotency;public;automation_logs
CREATE INDEX idx_automation_logs_provider_message_id ON public.automation_logs USING btree (provider_message_id);idx_automation_logs_provider_message_id;public;automation_logs
CREATE INDEX idx_automation_logs_tenant ON public.automation_logs USING btree (tenant_id);idx_automation_logs_tenant;public;automation_logs
CREATE INDEX idx_automation_logs_tenant_created ON public.automation_logs USING btree (tenant_id, created_at DESC);idx_automation_logs_tenant_created;public;automation_logs
CREATE INDEX idx_automation_logs_tenant_id ON public.automation_logs USING btree (tenant_id);idx_automation_logs_tenant_id;public;automation_logs
CREATE UNIQUE INDEX automation_queue_pkey ON public.automation_queue USING btree (id);automation_queue_pkey;public;automation_queue
CREATE UNIQUE INDEX idx_automation_queue_idempotency ON public.automation_queue USING btree (idempotency_key) WHERE (status <> 'error'::text);idx_automation_queue_idempotency;public;automation_queue
CREATE UNIQUE INDEX idx_automation_queue_reminders ON public.automation_queue USING btree (tenant_id, appointment_id, workflow_key, scheduled_for) WHERE (appointment_id IS NOT NULL);idx_automation_queue_reminders;public;automation_queue
CREATE UNIQUE INDEX idx_automation_queue_unique_confirmation ON public.automation_queue USING btree (appointment_id, workflow_key) WHERE ((workflow_key = 'appointment_confirmation'::text) AND (status = ANY (ARRAY['pending'::text, 'processing'::text, 'success'::text])));idx_automation_queue_unique_confirmation;public;automation_queue
CREATE UNIQUE INDEX idx_unique_birthday_per_year ON public.automation_queue USING btree (tenant_id, customer_id, reference_year) WHERE (workflow_key = 'customer_birthday'::text);idx_unique_birthday_per_year;public;automation_queue
CREATE UNIQUE INDEX idx_unique_birthday_queue_per_year ON public.automation_queue USING btree (tenant_id, customer_id, workflow_key, reference_year) WHERE ((workflow_key = 'customer_birthday'::text) AND (reference_year IS NOT NULL) AND (customer_id IS NOT NULL));idx_unique_birthday_queue_per_year;public;automation_queue
CREATE UNIQUE INDEX automation_reconciliation_settings_pkey ON public.automation_reconciliation_settings USING btree (id);automation_reconciliation_settings_pkey;public;automation_reconciliation_settings
CREATE UNIQUE INDEX automation_send_history_pkey ON public.automation_send_history USING btree (id);automation_send_history_pkey;public;automation_send_history
