force_rls;rls_enabled;schema_name;table_name
false;true;public;academy_lessons
false;true;public;academy_modules
false;true;public;academy_paths
false;true;public;academy_progress
false;true;public;addon_upgrade_recommendations
false;true;public;admin_event_log
false;true;public;admin_event_subscriptions
false;true;public;admin_event_templates
false;true;public;admin_notifications
false;true;public;ai_settings
false;true;public;appointment_checkins
false;true;public;appointment_groups
false;true;public;appointment_reviews
false;true;public;appointment_status_logs
false;true;public;appointments
false;true;public;audit_logs
false;true;public;automation_conversations
false;true;public;automation_cron_runs
false;true;public;automation_dispatches
false;true;public;automation_interaction_events
false;true;public;automation_interactions
false;true;public;automation_logs
false;true;public;automation_queue
false;true;public;automation_reconciliation_settings
false;true;public;automation_send_history
false;true;public;automation_status
false;true;public;automation_templates
false;true;public;automation_v2_dispatches
false;true;public;automation_v2_logs
false;true;public;automation_v2_sessions
false;true;public;automation_webhook_logs
false;true;public;automations
false;true;public;availability_conflict_logs
false;true;public;background_jobs
false;true;public;barber_commissions
false;true;public;barber_services
false;true;public;barber_tips
false;true;public;barbers
false;true;public;barbershop_module_logs
false;true;public;barbershop_modules
false;true;public;barbershop_settings
false;true;public;barbershops
false;true;public;campaign_logs
false;true;public;campaigns
false;true;public;cashback_transactions
false;true;public;client_auth
false;true;public;commission_closings
false;true;public;commission_entries
false;true;public;communication_channels
false;true;public;communication_messages
false;true;public;communication_templates
false;true;public;cookie_consents
false;true;public;coupons
false;true;public;credit_transactions
false;true;public;customer_achievements
false;true;public;customer_credits
false;true;public;customer_documents
false;true;public;customer_interactions
false;true;public;customer_subscriptions
false;true;public;customer_tasks
false;true;public;customers
false;true;public;email_logs
false;true;public;email_settings
false;true;public;financial_adjustment_logs
false;true;public;lgpd_requests
false;true;public;loyalty_achievements
false;true;public;loyalty_campaign_participations
false;true;public;loyalty_campaign_templates
false;true;public;loyalty_campaigns
false;true;public;loyalty_levels
false;true;public;loyalty_rewards
false;true;public;loyalty_settings
false;true;public;marketing_audiences
false;true;public;notification_recipients
false;true;public;notifications
false;true;public;observability_logs
false;true;public;onboarding_settings
false;true;public;operation_locks
false;true;public;operational_insights_interactions
false;true;public;payment_gateway_logs
false;true;public;payment_gateways
false;true;public;payment_receipts
false;true;public;permissions
false;true;public;plans
false;true;public;privacy_consents
false;true;public;product_images
false;true;public;product_sales
false;true;public;products
false;true;public;professional_time_off
false;true;public;profiles
false;true;public;push_subscriptions
false;true;public;rate_limit_hits
false;true;public;reception_permissions
false;true;public;refund_audits
false;true;public;refund_requests
false;true;public;resend_settings
false;true;public;review_automation_logs
false;true;public;role_permissions
false;true;public;saas_addons
false;true;public;saas_admin_voucher_audit_logs
false;true;public;saas_admin_voucher_redemptions
false;true;public;saas_admin_vouchers
false;true;public;saas_billing_settings
false;true;public;saas_checkout_sessions
false;true;public;security_activity_logs
false;true;public;service_ratings
false;true;public;services
false;true;public;status_checks
false;true;public;status_incidents
false;true;public;status_maintenances
false;true;public;status_services
false;true;public;subprocessors
false;true;public;subscription_card_scans
false;true;public;subscription_invoices
false;true;public;subscription_loyalty_history
false;true;public;subscription_loyalty_rewards
false;true;public;subscription_payments
false;true;public;subscription_plan_benefit_services
false;true;public;subscription_plan_benefits
false;true;public;subscription_plan_changes
false;true;public;subscription_plan_services
false;true;public;subscription_plans
false;true;public;subscription_referrals
false;true;public;subscription_status_logs
false;true;public;subscription_usage_logs
false;true;public;subscriptions
false;true;public;support_messages
false;true;public;support_tickets
false;true;public;system_health_settings
false;true;public;system_settings
false;true;public;team_audit_logs
false;true;public;tenant_addons
false;true;public;tenant_integrations
false;true;public;tenant_memberships
false;true;public;tenant_webhooks
false;true;public;ticket_messages
false;true;public;transactions
false;true;public;tutorial_categories
false;true;public;tutorials
false;true;public;user_invitations
false;true;public;user_mfa_backup_codes
false;true;public;user_onboarding_preferences
false;true;public;user_onboarding_progress
false;true;public;user_roles
false;true;public;user_tour_states
false;true;public;verification_challenges
false;true;public;waiting_list
false;true;public;wallet
false;true;public;wallet_transactions
false;true;public;webhook_logs
false;true;public;whatsapp_cloud_connections
false;true;public;whatsapp_conversations
false;true;public;whatsapp_delivery_logs
false;true;public;whatsapp_instances
false;true;public;whatsapp_messages
false;true;public;whatsapp_templates
false;true;public;zapi_integration_logs
false;true;public;zapi_webhook_debug
false;true;public;zapi_webhook_logs
