function_name;function_schema;schema_name;table_name;trigger_definition;trigger_enabled;trigger_name
update_updated_at_column;public;public;academy_lessons;CREATE TRIGGER update_academy_lessons_updated_at BEFORE UPDATE ON academy_lessons FOR EACH ROW EXECUTE FUNCTION update_updated_at_column();O;update_academy_lessons_updated_at
update_updated_at_column;public;public;academy_paths;CREATE TRIGGER update_academy_paths_updated_at BEFORE UPDATE ON academy_paths FOR EACH ROW EXECUTE FUNCTION update_updated_at_column();O;update_academy_paths_updated_at
update_updated_at_column;public;public;academy_progress;CREATE TRIGGER update_academy_progress_updated_at BEFORE UPDATE ON academy_progress FOR EACH ROW EXECUTE FUNCTION update_updated_at_column();O;update_academy_progress_updated_at
update_updated_at_column;public;public;addon_upgrade_recommendations;CREATE TRIGGER trg_addon_upgrade_rec_updated_at BEFORE UPDATE ON addon_upgrade_recommendations FOR EACH ROW EXECUTE FUNCTION update_updated_at_column();O;trg_addon_upgrade_rec_updated_at
touch_updated_at;public;public;admin_event_subscriptions;CREATE TRIGGER trg_admin_event_subs_updated BEFORE UPDATE ON admin_event_subscriptions FOR EACH ROW EXECUTE FUNCTION touch_updated_at();O;trg_admin_event_subs_updated
sync_appointment_review_decision;public;public;appointment_reviews;CREATE TRIGGER trg_sync_appointment_review_decision AFTER INSERT ON appointment_reviews FOR EACH ROW EXECUTE FUNCTION sync_appointment_review_decision();O;trg_sync_appointment_review_decision
validate_appointment_review_before_insert;public;public;appointment_reviews;CREATE TRIGGER trg_validate_appointment_review_before_insert BEFORE INSERT ON appointment_reviews FOR EACH ROW EXECUTE FUNCTION validate_appointment_review_before_insert();O;trg_validate_appointment_review_before_insert
update_updated_at_column;public;public;appointment_reviews;CREATE TRIGGER update_appointment_reviews_updated_at BEFORE UPDATE ON appointment_reviews FOR EACH ROW EXECUTE FUNCTION update_updated_at_column();O;update_appointment_reviews_updated_at
log_payment_status_change;public;public;appointments;CREATE TRIGGER on_payment_status_change AFTER UPDATE OF payment_status ON appointments FOR EACH ROW EXECUTE FUNCTION log_payment_status_change();O;on_payment_status_change
ensure_appointment_tenant_id;public;public;appointments;CREATE TRIGGER tr_ensure_appointment_tenant_id BEFORE INSERT OR UPDATE ON appointments FOR EACH ROW EXECUTE FUNCTION ensure_appointment_tenant_id();O;tr_ensure_appointment_tenant_id
handle_appointment_completion;public;public;appointments;CREATE TRIGGER tr_handle_appointment_completion AFTER UPDATE ON appointments FOR EACH ROW WHEN (new.status = 'completed'::text AND (old.status IS NULL OR old.status <> 'completed'::text)) EXECUTE FUNCTION handle_appointment_completion();O;tr_handle_appointment_completion
notify_new_appointment;public;public;appointments;CREATE TRIGGER tr_notify_new_appointment AFTER INSERT ON appointments FOR EACH ROW EXECUTE FUNCTION notify_new_appointment();O;tr_notify_new_appointment
reserve_usage_log_on_appointment_insert;public;public;appointments;CREATE TRIGGER tr_reserve_usage_log_on_insert AFTER INSERT ON appointments FOR EACH ROW EXECUTE FUNCTION reserve_usage_log_on_appointment_insert();O;tr_reserve_usage_log_on_insert
sync_usage_logs_on_appointment_status;public;public;appointments;CREATE TRIGGER tr_sync_usage_logs_on_status AFTER UPDATE OF status ON appointments FOR EACH ROW EXECUTE FUNCTION sync_usage_logs_on_appointment_status();O;tr_sync_usage_logs_on_status
handle_appointment_completion_review_decision;public;public;appointments;CREATE TRIGGER trg_appointment_completion_review_decision BEFORE INSERT OR UPDATE OF status ON appointments FOR EACH ROW EXECUTE FUNCTION handle_appointment_completion_review_decision();O;trg_appointment_completion_review_decision
enforce_appointment_no_overlap;public;public;appointments;CREATE TRIGGER trg_appointments_no_overlap BEFORE INSERT OR UPDATE OF barber_id, start_time, end_time, status ON appointments FOR EACH ROW EXECUTE FUNCTION enforce_appointment_no_overlap();O;trg_appointments_no_overlap
trg_commission_on_appointment;public;public;appointments;CREATE TRIGGER trg_commission_on_appointment AFTER INSERT OR UPDATE OF status ON appointments FOR EACH ROW EXECUTE FUNCTION trg_commission_on_appointment();O;trg_commission_on_appointment
emit_first_appointment_event;public;public;appointments;CREATE TRIGGER trg_first_appointment AFTER INSERT ON appointments FOR EACH ROW EXECUTE FUNCTION emit_first_appointment_event();O;trg_first_appointment
update_updated_at_column;public;public;appointments;CREATE TRIGGER update_appointments_updated_at BEFORE UPDATE ON appointments FOR EACH ROW EXECUTE FUNCTION update_updated_at_column();O;update_appointments_updated_at
update_updated_at_column;public;public;automation_conversations;CREATE TRIGGER update_automation_conversations_updated_at BEFORE UPDATE ON automation_conversations FOR EACH ROW EXECUTE FUNCTION update_updated_at_column();O;update_automation_conversations_updated_at
update_updated_at_column;public;public;automation_interactions;CREATE TRIGGER update_automation_interactions_updated_at BEFORE UPDATE ON automation_interactions FOR EACH ROW EXECUTE FUNCTION update_updated_at_column();O;update_automation_interactions_updated_at
update_updated_at_column;public;public;automation_reconciliation_settings;CREATE TRIGGER update_reconciliation_settings_updated_at BEFORE UPDATE ON automation_reconciliation_settings FOR EACH ROW EXECUTE FUNCTION update_updated_at_column();O;update_reconciliation_settings_updated_at
update_updated_at_column;public;public;automation_templates;CREATE TRIGGER update_automation_templates_updated_at BEFORE UPDATE ON automation_templates FOR EACH ROW EXECUTE FUNCTION update_updated_at_column();O;update_automation_templates_updated_at
update_updated_at_column;public;public;automation_v2_dispatches;CREATE TRIGGER update_automation_v2_dispatches_updated_at BEFORE UPDATE ON automation_v2_dispatches FOR EACH ROW EXECUTE FUNCTION update_updated_at_column();O;update_automation_v2_dispatches_updated_at
update_updated_at_column;public;public;automation_v2_sessions;CREATE TRIGGER update_automation_v2_sessions_updated_at BEFORE UPDATE ON automation_v2_sessions FOR EACH ROW EXECUTE FUNCTION update_updated_at_column();O;update_automation_v2_sessions_updated_at
update_bg_jobs_updated_at;public;public;background_jobs;CREATE TRIGGER trg_update_bg_jobs_updated_at BEFORE UPDATE ON background_jobs FOR EACH ROW EXECUTE FUNCTION update_bg_jobs_updated_at();O;trg_update_bg_jobs_updated_at
update_barber_commissions_updated_at;public;public;barber_commissions;CREATE TRIGGER trg_update_barber_commissions_updated_at BEFORE UPDATE ON barber_commissions FOR EACH ROW EXECUTE FUNCTION update_barber_commissions_updated_at();O;trg_update_barber_commissions_updated_at
update_updated_at_column;public;public;barbers;CREATE TRIGGER update_barbers_updated_at BEFORE UPDATE ON barbers FOR EACH ROW EXECUTE FUNCTION update_updated_at_column();O;update_barbers_updated_at
tg_log_barbershop_module_change;public;public;barbershop_modules;CREATE TRIGGER barbershop_modules_log_change AFTER INSERT OR UPDATE ON barbershop_modules FOR EACH ROW EXECUTE FUNCTION tg_log_barbershop_module_change();O;barbershop_modules_log_change
